ticket_id,team,category,agent,trigger_time,response_time,actual_hours,missing_entirely,is_violation,hours_overdue,rule_id,rule_name,max_hours,trigger_event,expected_event
TKT-1056,Team D,Shipping,Michael Hopkins,2024-01-01 04:13:36.785689,2024-01-01 09:42:34.142871,5.482599217163192,0,1,1.4825992171631919,R01,First Response SLA,4,ticket_opened,first_response
TKT-1364,Team C,Technical,Deborah Mendez,2024-01-01 20:36:21.697425,2024-01-01 23:13:33.158930,2.6198504181040656,0,0,0.0,R01,First Response SLA,4,ticket_opened,first_response
TKT-1213,Team C,Billing,Julie Pineda DVM,2024-01-03 09:09:26.738793,2024-01-03 12:23:18.261319,3.230978479451603,0,0,0.0,R01,First Response SLA,4,ticket_opened,first_response
TKT-1329,Team B,Technical,Michael Hopkins,2024-01-03 09:12:21.213169,2024-01-03 15:08:34.862455,5.937124801609251,0,1,1.9371248016092508,R01,First Response SLA,4,ticket_opened,first_response
TKT-1060,Team D,Billing,Melissa Lawrence,2024-01-03 11:47:23.272215,2024-01-03 15:00:30.405178,3.2186480453279285,0,0,0.0,R01,First Response SLA,4,ticket_opened,first_response
TKT-1112,Team B,Account,Desiree Warner,2024-01-03 20:14:04.471145,2024-01-04 02:14:30.941167,6.007352783944872,0,1,2.0073527839448717,R01,First Response SLA,4,ticket_opened,first_response
TKT-1077,Team D,Billing,Melanie Colon,2024-01-04 03:20:56.294879,2024-01-04 03:48:44.777009,0.4634672583474053,0,0,0.0,R01,First Response SLA,4,ticket_opened,first_response
TKT-1294,Team C,Returns,Robert Moore,2024-01-05 08:30:49.395376,2024-01-05 09:45:37.236490,1.2466225316789414,0,0,0.0,R01,First Response SLA,4,ticket_opened,first_response
TKT-1133,Team B,Billing,Jonathon Stevens,2024-01-06 10:50:22.794527,2024-01-06 14:08:01.116841,3.2939784205622145,0,0,0.0,R01,First Response SLA,4,ticket_opened,first_response
TKT-1310,Team C,Account,Sabrina Ochoa,2024-01-06 11:23:12.062423,2024-01-06 14:39:54.643960,3.2784948713911906,0,0,0.0,R01,First Response SLA,4,ticket_opened,first_response
TKT-1286,Team D,Technical,Amanda Joseph,2024-01-06 12:04:30.175933,2024-01-06 13:14:15.647181,1.1626309022638532,0,0,0.0,R01,First Response SLA,4,ticket_opened,first_response
TKT-1425,Team C,Shipping,Haley Brown,2024-01-06 13:21:01.358815,2024-01-06 16:09:27.203861,2.807179179456499,0,0,0.0,R01,First Response SLA,4,ticket_opened,first_response
TKT-1393,Team B,Technical,Haley Brown,2024-01-06 15:46:59.258569,2024-01-06 16:12:34.870272,0.42655880636639065,0,0,0.0,R01,First Response SLA,4,ticket_opened,first_response
TKT-1270,Team A,Shipping,Ashley Davis,2024-01-06 16:34:37.801108,2024-01-06 16:54:26.858146,0.3302936216857698,0,0,0.0,R01,First Response SLA,4,ticket_opened,first_response
TKT-1186,Team D,Billing,Julie Pineda DVM,2024-01-06 16:44:41.195806,2024-01-06 22:08:57.228032,5.404453396134906,0,1,1.4044533961349064,R01,First Response SLA,4,ticket_opened,first_response
TKT-1254,Team D,Returns,Alex Harris,2024-01-07 08:05:58.972717,2024-01-07 09:48:09.669720,1.702971389691035,0,0,0.0,R01,First Response SLA,4,ticket_opened,first_response
